Response Substituted or Provided by Team,,,,,,,,,,
,,,,,,,,,,
,National Category- Wet  Freeze Zone,,National Category- Dry  Freeze Zone,,National Category- Dry  No Freeze Zone,,National Category- Wet  No Freeze Zone  NWN,,,
Patching- 30%  Moderate severity,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Patch/Reconstruct area,Chip/Cape Seal,"Slurry/Micro, or Fog/Coal tar Seal",Chip/Cape Seal,"Slurry/Micro, or Chip/Cape seal",Patch/Reconstruct area,,
Patching- 30% High severity,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Rehab/Reconstruct,Asphalt overlay/Mill+ overlay,"Patch/Reconstruct area, or Rehab/Reconstruct",Asphalt Overlay/Mill+overlay,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,,
"Roughness, Long Wavelength Swells",Do Nothing,Do Nothing,Patch/Reconstruct area,Do Nothing,Patch/Reconstruct area,Do Nothing,Patch/Reconstruct area,Do Nothing,,
Roughness- Many Long Wavelength Swells,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Do Nothing,,
"Roughness- No Swells, Many Short Wavelength Bumps",Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,,
, , , , , , , , , , 
,Basic Category- Wet  Freeze Zone       BWF,,Basic Category- Dry  Freeze Zone      BDF,,Basic Category- Dry  No Freeze Zone     BDN,,Basic Category- Wet  No Freeze Zone   BWN,,,
Ques,Accept,Best,Accept,Best,Accept,Best,Accept,Best,,
Starting to weather (losing fines),"Fog/Coal Tar Seal, Rejuvenator",Do Nothing,Fog/Coal tar Seal,Rejuvenator,Fog/Coal tar Seal,Rejuvenator,"Do Nothing, or Rejuvenator",Fog/Coal tar Seal,,
Definitely Weathering (losing fines) ,Do Nothing,"Fog/Coal Tar Seal, Rejuvenator",Fog/Coal tar Seal,Slurry/Micro,Rejuvenator,Fog/Coal tar Seal,"Rejuvenator, or Fog/Coal Tar Seal",Slurry/Micro,,
Starting to ravel (larger rock starting to pop out),"Fog/Coal Tar Seal, Rejuvenator",Chip/Cape seal,Slurry/Micro,Chip/Cape seal,Fog/Coal tar Seal,Slurry/Micro,Slurry/Micro,Rejuvenator,,
Definitely raveling and losing rock,Chip/Cape seal,Asphalt Overlay/Mill+overlay,Slurry/Micro,Chip/Cape seal,Slurry/Micro,Chip/Cape seal,Chip/Cape Seal,Asphalt Overlay/Mill+overlay,,
"Few longitudinal cracks or joints, Low severity",Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,Crack Seal/fill,Do Nothing,"Do Nothing, or Rejuvenator",Crack Seal/fill,,
Few longitudinal cracks or joints Mod severity,Do Nothing,Crack Seal/fill,Crack Seal/fill,Crack Seal/fill,Do Nothing,Crack Seal/fill,"Do Nothing, or Rejuvenator",Crack Seal/fill,,
Few longitudinal cracks or joints- High severity,Crack Seal/Fill,Patch/Reconstruct area,Crack Seal/fill,Patch/Reconstruct area,Crack Seal/fill,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,,
Many longitudinal cracks- Low sev,"Do Nothing, or Asphalt Overlay/Mill+overlay",Crack Seal/fill,Do Nothing,Crack Seal/fill,Crack Seal/fill,Do Nothing,Do Nothing,Crack Seal/fill,,
Many longitudinal cracks- Mod sev,"Patch/Reconstruct area, or Do Nothing",Crack Seal/fill,Crack Seal/fill,Crack Seal/fill,Do Nothing,Crack Seal/fill,Asphalt Overlay/Mill+overlay,Crack Seal/fill,,
Many longitudinal cracks- High severity,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Crack Seal/fill,Asphalt Overlay/Mill+overlay,Crack Seal/fill,Asphalt Overlay/Mill+overlay,,
A few edge cracks- Low severity,Crack Seal/fill,Do Nothing,Do Nothing,Crack Seal/fill,Crack Seal/fill,Do Nothing,Crack Seal/fill,Do Nothing,,
A few edge cracks- Moderate severity,"Asphalt Overlay/Mill+overlay, or Patch/Reconstruct area",Crack Seal/fill,Crack Seal/fill,Crack Seal/fill,Do Nothing,Crack Seal/fill,Rejuvenator,Crack Seal/fill,,
A few edge cracks- High severity,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Crack Seal/fill,Patch/Reconstruct area,Crack Seal/fill,Patch/Reconstruct area,"Crack Seal/Fill, or Rejuvenator",Patch/Reconstruct area,,
Transverse cracks spaced 50 ft apart Low sev,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,Crack Seal/fill,Do Nothing,Do Nothing,Crack Seal/fill,,
Transverse cracks spaced 50 ft apart Mod sev,"Asphalt Overlay/Mill+overlay, or Do Nothing",Crack Seal/fill,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,,
Transverse cracks spaced 50 ft apart High sev,Crack Seal/fill,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Crack Seal/fill,Patch/Reconstruct area,Crack Seal/fill,Asphalt Overlay/Mill+overlay,Crack Seal/fill,,
Transverse cracks spaced 20 ft apart- Low sev,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,,
Transverse cracks spaced 20 ft apart Mod sev,"Asphalt Overlay/Mill+overlay, or Do Nothing",Crack Seal/fill,Chip/Cape Seal,Crack Seal/fill,Do Nothing,Crack Seal/fill,Chip/Cape Seal,Crack Seal/fill,,
Transverse cracks spaced 20 ft apart High sev,Crack Seal/fill,Asphalt Overlay/Mill+overlay,Chip/Cape Seal,Asphalt Overlay/Mill+overlay,Chip/Cape Seal,Crack Seal/fill,Asphalt Overlay/Mill+overlay,Crack Seal/fill,,
Block cracking Low severity,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,Crack Seal/fill,Do Nothing,Do Nothing,Crack Seal/fill,,
Block cracking Moderate severity,Do Nothing,Crack Seal/fill,Chip/Cape Seal,Crack Seal/fill,Do Nothing,Crack Seal/fill,Asphalt Overlay/Mill+overlay,Crack Seal/fill,,
Block cracking High severity,Chip/Cape seal,Asphalt Overlay/Mill+overlay,Chip/Cape Seal,Asphalt Overlay/Mill+overlay,Crack Seal/fill,Asphalt Overlay/Mill+overlay,Chip/Cape Seal,Asphalt Overlay/Mill+overlay,,
Reflection cracking Low severity,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,Crack Seal/fill,Do Nothing,Do Nothing,Crack Seal/fill,,
Reflection cracking Mod severity,"Asphalt Overlay/Mill+overlay, or Do Nothing",Crack Seal/fill,Crack Seal/fill,Crack Seal/fill,Do Nothing,Crack Seal/fill,Crack Seal/fill,Crack Seal/fill,,
Reflection cracking High severity,"Asphalt Overlay/Mill+overlay, or Rehab/Reconstruct",Patch/Reconstruct area,"Crack Seal/Fill, or Rehab/Reconstruct",Patch/Reconstruct area,Crack Seal/fill,Patch/Reconstruct area,Rehab/Reconstruct,Patch/Reconstruct area,,
Fatigue cracking- 10% Low severity,Do Nothing,Crack Seal/fill,Rejuvenator,Crack Seal/fill,Do Nothing,Crack Seal/fill,Patch/Reconstruct area,Crack Seal/fill,,
Fatigue cracking- 10%  Mod severity ,Fog/Coal tar Seal,Patch/Reconstruct area,Chip/Cape Seal,Patch/Reconstruct area,Crack Seal/fill,Patch/Reconstruct area,Chip/Cape Seal,Crack Seal/fill,,
Fatigue cracking- 10% High severity ,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Chip/Cape Seal,Patch/Reconstruct area,,
Fatigue cracking- 30% Fatigue cracking Low sev,Fog/Coal tar Seal,"Asphalt Overlay/Mill+overlay, or Rehab/Reconstruct",Chip/Cape seal,Asphalt Overlay/Mill+overlay,Rejuvenator,Asphalt Overlay/Mill+overlay,Rejuvenator,Asphalt Overlay/Mill+overlay,,
Fatigue cracking- 30% Moderate sev,"Patch/Reconstruct area, or Rehab/Reconstruct",Asphalt Overlay/Mill+overlay,Chip/Cape seal,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Patch/Reconstruct Area,Asphalt Overlay/Mill+overlay,,
Fatigue cracking- 30% High sev,"Asphalt Overlay/Mill+overlay, or Patch/Reconstruct area",Rehab/Reconstruct,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Patch/Reconstruct area,Rehab/Reconstruct,Asphalt Overlay/Mill+overlay,Rehab/Reconstruct,,
Patching- 10% Low severity,Slurry/Micro,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/fill,Do Nothing,Do Nothing,Do Nothing,,
Patching- 10% Moderate severity,Do Nothing,"Slurry/Micro, or Patch/Reconstruct area","Slurry/Micro, or Fog/Coal Tar Seal",Do Nothing,Do Nothing,Crack Seal/fill,Fog/Coal tar Seal,Do Nothing,,
Patching- 10%  High severity,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,"Slurry/Micro, or Fog/Coal Tar Seal",Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,"Slurry/Micro, or Chip/Cape seal",Patch/Reconstruct area,,
Patching- 30% Low severity,Fog/Coal tar Seal,Do Nothing,Crack Seal/Fill,Do Nothing,Crack Seal/fill,Do Nothing,Crack Seal/Fill,Do Nothing,,
Patching- 30%  Moderate severity,Fog/Coal tar Seal,Patch/Reconstruct area,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Asphalt Overlay/Mill+overlay,"Chip/Cape seal, or Slurry/Micro",Chip/Cape Seal,Asphalt Overlay/Mill+overlay,,
Patching- 30% High severity,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,"Chip/Cape seal, or Slurry/Micro",Asphalt Overlay/Mill+overlay,Rehab/Reconstruct,Asphalt Overlay/Mill+overlay,,
"Roughness, Long Wavelength Swells",Patch/Reconstruct area,Do Nothing,Patch/Reconstruct area,Do Nothing,Patch/Reconstruct area,Do Nothing,Patch/Reconstruct area,Do Nothing,,
Roughness- Many Long Wavelength Swells,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Asphalt Overlay/Mill+overlay,Do Nothing,Asphalt Overlay/Mill+overlay,Do Nothing,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,,
"Roughness- No Swells, Many Short Wavelength Bumps",Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,Asphalt Overlay/Mill+overlay,Do Nothing,Asphalt Overlay/Mill+overlay,Do Nothing,Patch/Reconstruct area,Asphalt Overlay/Mill+overlay,,
