Response Substituted or Provided by Team,,,,,,,,,,
,,,,,,,,,,
,National Category- Wet  Freeze Zone       NWF,,National Category- Dry  Freeze Zone       NDF,,National Category- Dry  No Freeze Zone     NDN,,National Category- Wet  No Freeze Zone,,,
"30% Shattered, Low sev",Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Do Nothing,Crack/Joint seal,,
"30% Shattered, Mod sev",Full-depth repair (localized),Crack/Joint seal,Full-depth repair (localized),Crack/Joint seal,Full-depth repair (localized),Crack/Joint seal,Crack/Joint seal,Full-depth repair (localized),,
"30% Shattered, Hi sev",Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Full-depth repair (localized),Concrete/Asphalt overlay,Full-depth repair (localized),,
"30% slabs, Patches Low sev",Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,,
"30% slabs, Patches Med sev",Do Nothing,Partial depth repair,Do Nothing,Partial depth repair,Do Nothing,Partial depth repair,Do Nothing,Partial depth repair,,
"30% slabs, Patches Hi sev",Partial depth repair,Full-depth repair (localized),Partial depth repair,Full-depth repair (localized),Partial depth repair,Full-depth repair (localized),Partial depth repair,Full-depth repair (localized),,
"50% slabs, Patches Low sev",Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,,
"50% slabs, Patches Med sev",Full-depth repair (localized),Partial depth repair,Full-depth repair (localized),Partial depth repair,Full-depth repair (localized),Partial depth repair,Partial depth repair,Full-depth repair (localized),,
"50% slabs, Patches Hi sev",Full-depth repair (localized),Partial depth repair,Full-depth repair (localized),Partial depth repair,Full-depth repair (localized),Partial depth repair,Partial depth repair,Full-depth repair (localized),,
10% slabs Fault Low sev,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Do Nothing,Crack/Joint seal,,
10% slabs Fault Med sev,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Slab stabilization/jacking/underseal,Crack/Joint seal,,
10% slabs Fault Hi sev,Grinding/grooving,Slab stabilization/jacking/underseal,Grinding/grooving,Slab stabilization/jacking/underseal,Grinding/grooving,Slab stabilization/jacking/underseal,Slab stabilization/jacking/underseal,Grinding/grooving,,
30% slabs Fault Low sev,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,Crack/Joint seal,Do Nothing,"Slab stabilization/jacking/underseal, or Crack/Joint seal",Do Nothing,,
30% slabs Fault Med sev,Slab stabilization/jacking/underseal,Grinding/grooving,Slab stabilization/jacking/underseal,Grinding/grooving,Slab stabilization/jacking/underseal,Grinding/grooving,"Slab stabilization/jacking/underseal, or Crack/Joint seal",Grinding/grooving,,
30% slabs Fault Hi sev,Grinding/grooving,Rehab/Reconstruct,Grinding/grooving,Rehab/Reconstruct,Grinding/grooving,Rehab/Reconstruct,Slab stabilization/jacking/underseal,Grinding/grooving,,
,,,,,,,,,,
